sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
ABLG-4671	ABLG-4671	1	ABLG-4671_S13_L001_R1_001.fastq.gz	ABLG-4671_S13_L001_R2_001.fastq.gz	273	273	271	271	271	271	271	271	271
ABLG-4710	ABLG-4710	1	ABLG-4710_S18_L001_R1_001.fastq.gz	ABLG-4710_S18_L001_R2_001.fastq.gz	349	349	346	346	346	346	330	326	326
ABLG-651	ABLG-651	1	ABLG-651_S74_L001_R1_001.fastq.gz	ABLG-651_S74_L001_R2_001.fastq.gz	307	307	289	289	289	289	279	274	274
ABLG-660	ABLG-660	1	ABLG-660_S76_L001_R1_001.fastq.gz	ABLG-660_S76_L001_R2_001.fastq.gz	272	272	243	243	243	243	237	223	223
ABLG-663	ABLG-663	1	ABLG-663_S75_L001_R1_001.fastq.gz	ABLG-663_S75_L001_R2_001.fastq.gz	344	344	319	319	319	319	318	278	278
ABLG-674	ABLG-674	1	ABLG-674_S73_L001_R1_001.fastq.gz	ABLG-674_S73_L001_R2_001.fastq.gz	386	386	352	352	352	352	349	349	349
ABLG-710	ABLG-710	1	ABLG-710_S71_L001_R1_001.fastq.gz	ABLG-710_S71_L001_R2_001.fastq.gz	263	263	261	261	261	261	260	260	260
ABLG-755	ABLG-755	1	ABLG-755_S72_L001_R1_001.fastq.gz	ABLG-755_S72_L001_R2_001.fastq.gz	76	76	60	60	60	60	60	60	60
ABLG-8546	ABLG-8546	1	ABLG-8546_S69_L001_R1_001.fastq.gz	ABLG-8546_S69_L001_R2_001.fastq.gz	282	282	281	281	281	281	281	281	281
ABLG-8566	ABLG-8566	1	ABLG-8566_S70_L001_R1_001.fastq.gz	ABLG-8566_S70_L001_R2_001.fastq.gz	237	237	235	235	235	235	235	235	235
ABLG-9486	ABLG-9486	1	ABLG-9486_S19_L001_R1_001.fastq.gz	ABLG-9486_S19_L001_R2_001.fastq.gz	345	345	341	341	341	341	340	340	340
ABLG-9495	ABLG-9495	1	ABLG-9495_S20_L001_R1_001.fastq.gz	ABLG-9495_S20_L001_R2_001.fastq.gz	317	317	311	311	311	311	310	310	310
ABLG-9545	ABLG-9545	1	ABLG-9545_S22_L001_R1_001.fastq.gz	ABLG-9545_S22_L001_R2_001.fastq.gz	278	278	277	277	277	277	277	277	277
ABLG-9565	ABLG-9565	1	ABLG-9565_S23_L001_R1_001.fastq.gz	ABLG-9565_S23_L001_R2_001.fastq.gz	244	244	241	241	241	241	241	241	241
ABLG-9570	ABLG-9570	1	ABLG-9570_S24_L001_R1_001.fastq.gz	ABLG-9570_S24_L001_R2_001.fastq.gz	215	215	213	213	212	212	211	211	211
ABLG-9601	ABLG-9601	1	ABLG-9601_S21_L001_R1_001.fastq.gz	ABLG-9601_S21_L001_R2_001.fastq.gz	241	241	239	239	239	239	239	239	239
ABLG-9850	ABLG-9850	1	ABLG-9850_S25_L001_R1_001.fastq.gz	ABLG-9850_S25_L001_R2_001.fastq.gz	344	344	340	340	340	340	340	340	340
ABLG-9857	ABLG-9857	1	ABLG-9857_S26_L001_R1_001.fastq.gz	ABLG-9857_S26_L001_R2_001.fastq.gz	423	423	420	420	419	419	362	362	362
ABLG-9868	ABLG-9868	1	ABLG-9868_S29_L001_R1_001.fastq.gz	ABLG-9868_S29_L001_R2_001.fastq.gz	314	314	313	313	313	313	308	308	308
ABLG-9891	ABLG-9891	1	ABLG-9891_S27_L001_R1_001.fastq.gz	ABLG-9891_S27_L001_R2_001.fastq.gz	339	339	337	337	337	337	300	300	300
ABLG-9895	ABLG-9895	1	ABLG-9895_S28_L001_R1_001.fastq.gz	ABLG-9895_S28_L001_R2_001.fastq.gz	212	212	211	211	211	211	208	208	208
ABLG-9972	ABLG-9972	1	ABLG-9972_S34_L001_R1_001.fastq.gz	ABLG-9972_S34_L001_R2_001.fastq.gz	326	326	291	291	291	291	290	290	290
ABLG-9978	ABLG-9978	1	ABLG-9978_S33_L001_R1_001.fastq.gz	ABLG-9978_S33_L001_R2_001.fastq.gz	407	407	374	374	374	374	372	372	372
ABLG-9981	ABLG-9981	1	ABLG-9981_S32_L001_R1_001.fastq.gz	ABLG-9981_S32_L001_R2_001.fastq.gz	224	224	220	220	220	220	220	220	220
ABLG-9983	ABLG-9983	1	ABLG-9983_S31_L001_R1_001.fastq.gz	ABLG-9983_S31_L001_R2_001.fastq.gz	244	244	242	242	242	242	230	230	230
ABLG10631	ABLG10631	1	ABLG10631_S409_L001_R1_001.fastq.gz	ABLG10631_S409_L001_R2_001.fastq.gz	271	271	262	262	262	262	261	261	261
